DATE,FYGFD
1939-06-30,48.2
1940-06-30,50.7
1941-06-30,57.5
1942-06-30,79.2
1943-06-30,142.6
1944-06-30,204.1
1945-06-30,260.1
1946-06-30,271
1947-06-30,257.1
1948-06-30,252
1949-06-30,252.6
1950-06-30,256.9
1951-06-30,255.3
1952-06-30,259.1
1953-06-30,266
1954-06-30,270.8
1955-06-30,274.4
1956-06-30,272.7
1957-06-30,272.3
1958-06-30,279.7
1959-06-30,287.5
1960-06-30,290.5
1961-06-30,292.6
1962-06-30,302.9
1963-06-30,310.3
1964-06-30,316.1
1965-06-30,322.3
1966-06-30,328.5
1967-06-30,340.4
1968-06-30,368.7
1969-06-30,365.8
1970-06-30,380.9
1971-06-30,408.2
1972-06-30,435.9
1973-06-30,466.3
1974-06-30,483.9
1975-06-30,541.9
1976-06-30,629
1977-09-30,706.4
1978-09-30,776.6
1979-09-30,829.5
1980-09-30,909
1981-09-30,994.8
1982-09-30,1137.3
1983-09-30,1371.7
1984-09-30,1564.6
1985-09-30,1817.4
1986-09-30,2120.5
1987-09-30,2346
1988-09-30,2601.1
1989-09-30,2867.8
1990-09-30,3206.3
1991-09-30,3598.2
1992-09-30,4001.8
1993-09-30,4351
1994-09-30,4643.3
1995-09-30,4920.6
1996-09-30,5181.5
1997-09-30,5369.2
1998-09-30,5478.2
1999-09-30,5605.5
2000-09-30,5628.7
2001-09-30,5769.9
2002-09-30,6198.4
2003-09-30,6760
2004-09-30,7354.7
2005-09-30,7905.3
2006-09-30,8451.4
2007-09-30,8950.7
2008-09-30,9986.1
2009-09-30,11875.9
2010-09-30,13528.8
2011-09-30,14764.2
2012-09-30,16050.9
2013-09-30,16719.4
2014-09-30,17794.5
2015-09-30,18120.1
2016-09-30,19539.5
2017-09-30,20205.7
2018-09-30,21462.3
2019-09-30,22669.5
